Iteration, Request to decryption time
1124, 435448
1125, 430010
1126, 424463
1127, 421019
1128, 410761
1129, 448052
1130, 427210
1131, 424755
1132, 429552
1133, 422596
1134, 426463
1135, 456134
1136, 425460
1137, 420074
1138, 429188
1139, 417881
1140, 420863
1141, 482211
1142, 438475
1143, 2192866
1144, 421857
1145, 429288
1146, 437642
1147, 419890
1148, 409078
1149, 428164
1150, 422891
1151, 534702
1152, 423051
1153, 513088
1154, 422361
1155, 412913
1156, 418944
1157, 415398
1158, 414587
1159, 421203
1160, 421254
1161, 425785
1162, 435664
1163, 533093
1164, 414423
1165, 510428
1166, 429053
1167, 429141
1168, 414078
1169, 419110
1170, 426172
1171, 437783
1172, 425399
1173, 431916
1174, 421772
1175, 498468
1176, 459302
1177, 496862
1178, 430423
1179, 425884
1180, 458616
1181, 438219
1182, 429194
1183, 415137
1184, 421129
1185, 444187
1186, 421261
1187, 939237
1188, 413809
1189, 450565
1190, 452439
1191, 446389
1192, 423161
1193, 416614
1194, 422155
1195, 422751
1196, 420506
1197, 416853
1198, 442722
1199, 419924
1200, 416890
1201, 451164
1202, 421064
1203, 409866
1204, 404530
1205, 417435
1206, 418961
1207, 412659
1208, 423911
1209, 409878
1210, 425160
1211, 777064
1212, 420280
1213, 469785
1214, 418062
1215, 437489
1216, 444331
1217, 465517
1218, 419851
1219, 418813
1220, 420067
1221, 455937
1222, 423919
1223, 413775
1224, 420114
1225, 523150
1226, 412390
1227, 423911
1228, 418556
1229, 419294
1230, 441854
1231, 434192
1232, 422249
1233, 528722
1234, 416918
1235, 416475
1236, 434282
1237, 524306
1238, 423248
1239, 415952
1240, 426203
1241, 433894
1242, 417856
1243, 417830
1244, 417198
1245, 518198
1246, 440001
1247, 418218
1248, 424455
1249, 503321
1250, 444815
1251, 429493
1252, 413602
1253, 416849
1254, 423115
1255, 414857
1256, 418872
1257, 426793
1258, 417011
1259, 414618
1260, 418949
1261, 511717
1262, 409542
1263, 415418
1264, 413117
1265, 416824
1266, 419599
1267, 416309
1268, 446442
1269, 2849517
1270, 416225
1271, 443036
1272, 426732
1273, 523403
1274, 416340
1275, 881841
1276, 421167
1277, 424762
1278, 442215
1279, 417987
1280, 424246
1281, 416118
1282, 422450
1283, 420911
1284, 417568
1285, 528747
1286, 554975
1287, 439910
1288, 412101
1289, 428553
1290, 439640
1291, 415833
1292, 423352
1293, 411700
1294, 405676
1295, 433944
1296, 410100
1297, 518453
1298, 2411812
1299, 415428
1300, 438668
1301, 422550
1302, 432794
1303, 445830
1304, 416060
1305, 535192
1306, 459221
1307, 448861
1308, 411519
1309, 539425
1310, 422643
1311, 422847
1312, 419312
1313, 416247
1314, 424620
1315, 424654
1316, 437181
1317, 1067124
1318, 431093
1319, 420857
1320, 419778
1321, 525364
1322, 455670
1323, 410747
1324, 416859
1325, 419737
1326, 449413
1327, 517374
1328, 443969
1329, 440923
1330, 422673
1331, 435513
1332, 9685246
1333, 472515
1334, 1464681
1335, 417532
1336, 432492
1337, 433356
1338, 413799
1339, 417820
1340, 418239
1341, 415660
1342, 427162
1343, 424369
1344, 1923380
1345, 485917
1346, 446978
1347, 432563
1348, 418412
1349, 417411
1350, 427018
1351, 418161
1352, 485979
1353, 439083
1354, 449916
1355, 426993
1356, 413823
1357, 499292
1358, 417911
1359, 419796
1360, 415486
1361, 411311
1362, 418120
1363, 417032
1364, 420799
1365, 442853
1366, 425145
1367, 415112
1368, 436132
1369, 534825
1370, 447477
1371, 415081
1372, 422629
1373, 412623
1374, 419377
1375, 418791
1376, 439347
1377, 436485
1378, 411709
1379, 420283
1380, 419249
1381, 498620
1382, 421761
1383, 418043
1384, 410756
1385, 421856
1386, 435747
1387, 435589
1388, 421561
1389, 430684
1390, 419419
1391, 435764
1392, 424328
1393, 528798
1394, 423221
1395, 417605
1396, 425545
1397, 7374397
1398, 428565
1399, 418313
1400, 417115
1401, 433193
1402, 418074
1403, 413446
1404, 419431
1405, 529027
1406, 470527
1407, 432703
1408, 441894
1409, 513364
1410, 436122
1411, 415238
1412, 402426
1413, 416116
1414, 415043
1415, 415565
1416, 469603
1417, 573192
1418, 414608
1419, 418126
1420, 410673
1421, 419601
1422, 444313
1423, 422190
1424, 428630
1425, 440093
1426, 465989
1427, 425007
1428, 423143
1429, 514709
1430, 422815
1431, 423300
1432, 412118
1433, 422626
1434, 446630
1435, 429410
1436, 441109
1437, 422100
1438, 417878
1439, 420036
1440, 416485
1441, 529870
1442, 415160
1443, 409349
1444, 874644
1445, 440605
1446, 439450
1447, 414095
1448, 426185
1449, 428808
1450, 432027
1451, 442656
1452, 417114
1453, 475169
1454, 422446
1455, 435260
1456, 419859
1457, 410747
1458, 427110
1459, 430572
1460, 419759
1461, 423854
1462, 411536
1463, 407775
