Iteration, Request to download time, Total length, Trials
426, 25024, 5875584, 0
427, 24669, 5875584, 0
428, 24544, 5875584, 0
429, 25069, 5875584, 0
430, 25228, 5875584, 0
431, 25127, 5875584, 0
432, 25492, 5875584, 0
433, 25181, 5875584, 0
434, 25657, 5875584, 0
435, 25626, 5875584, 0
436, 25452, 5875584, 0
437, 26433, 5875584, 0
438, 24625, 5875584, 0
439, 25031, 5875584, 0
440, 24841, 5875584, 0
441, 25115, 5875584, 0
442, 25178, 5875584, 0
443, 25262, 5875584, 0
444, 30409, 5875584, 0
445, 25695, 5875584, 0
446, 26035, 5875584, 0
447, 25932, 5875584, 0
448, 25081, 5875584, 0
449, 25122, 5875584, 0
450, 25853, 5875584, 0
451, 25092, 5875584, 0
452, 25394, 5875584, 0
453, 25259, 5875584, 0
454, 25672, 5875584, 0
455, 25641, 5875584, 0
456, 24968, 5875584, 0
457, 25151, 5875584, 0
458, 25473, 5875584, 0
459, 25838, 5875584, 0
460, 25325, 5875584, 0
461, 25934, 5875584, 0
462, 25205, 5875584, 0
463, 25084, 5875584, 0
464, 25312, 5875584, 0
465, 25774, 5875584, 0
466, 25560, 5875584, 0
467, 25471, 5875584, 0
468, 24680, 5875584, 0
469, 25962, 5875584, 0
470, 25143, 5875584, 0
471, 25156, 5875584, 0
472, 25342, 5875584, 0
473, 25586, 5875584, 0
474, 26249, 5875584, 0
475, 25558, 5875584, 0
476, 26846, 5875584, 0
477, 25334, 5875584, 0
478, 25370, 5875584, 0
479, 27148, 5875584, 0
480, 26382, 5875584, 0
481, 26076, 5875584, 0
482, 25396, 5875584, 0
483, 25477, 5875584, 0
484, 25040, 5875584, 0
485, 25158, 5875584, 0
486, 24854, 5875584, 0
487, 25101, 5875584, 0
488, 25201, 5875584, 0
489, 24937, 5875584, 0
490, 25230, 5875584, 0
491, 24858, 5875584, 0
492, 25060, 5875584, 0
493, 24465, 5875584, 0
494, 24590, 5875584, 0
495, 24870, 5875584, 0
496, 26273, 5875584, 0
497, 25560, 5875584, 0
498, 25431, 5875584, 0
499, 25121, 5875584, 0
500, 25239, 5875584, 0
